nominal_coverage,empirical_coverage,mean_width,model,obs,lead_day,season
0.9,0.6864642003758551,4.883797257639706,neuralgcm,ERA5,7,annual
0.5,0.22610325135873996,1.7484978174147146,gencast,CHIRPS,1,MAM
0.8,0.3596481790899532,3.3129228762780265,gencast,CHIRPS,1,MAM
0.9,0.4048127604914957,4.227423414143134,gencast,CHIRPS,1,MAM
0.5,0.24962231622137884,2.1892509703240126,gencast,CHIRPS,3,MAM
0.8,0.4024561227618948,4.14899628350173,gencast,CHIRPS,3,MAM
0.9,0.4520331325663631,5.401151736644809,gencast,CHIRPS,3,MAM
0.5,0.2635344391302792,2.4333268648937265,gencast,CHIRPS,5,MAM
0.8,0.43017219204981644,4.686519523143013,gencast,CHIRPS,5,MAM
0.9,0.48039846815797355,6.12224432362126,gencast,CHIRPS,5,MAM
0.5,0.27133780424115883,2.566588620476474,gencast,CHIRPS,7,MAM
0.8,0.4447057696003211,5.00538433594134,gencast,CHIRPS,7,MAM
0.9,0.49585682849604923,6.57959353193659,gencast,CHIRPS,7,MAM
0.5,0.346828674292412,1.7484978174147146,gencast,ERA5,1,MAM
0.8,0.5676574810562044,3.3129228762780265,gencast,ERA5,1,MAM
0.9,0.6465394044172688,4.227423414143134,gencast,ERA5,1,MAM
0.5,0.36967848102783546,2.1892509703240126,gencast,ERA5,3,MAM
0.8,0.6000260036806729,4.14899628350173,gencast,ERA5,3,MAM
0.9,0.6740835986504221,5.401151736644809,gencast,ERA5,3,MAM
0.5,0.37933177433769966,2.4333268648937265,gencast,ERA5,5,MAM
0.8,0.6094106034684335,4.686519523143013,gencast,ERA5,5,MAM
0.9,0.6848642278767039,6.12224432362126,gencast,ERA5,5,MAM
0.5,0.3839605796697257,2.566588620476474,gencast,ERA5,7,MAM
0.8,0.6204034011400551,5.00538433594134,gencast,ERA5,7,MAM
0.9,0.6942177957756654,6.57959353193659,gencast,ERA5,7,MAM
0.5,0.2299826487514511,1.6224274712423394,neuralgcm,CHIRPS,1,MAM
0.8,0.3944729884304032,3.010884913993238,neuralgcm,CHIRPS,1,MAM
0.9,0.4449555290538245,3.818444451782791,neuralgcm,CHIRPS,1,MAM
0.5,0.291322743565717,2.2913307208007327,neuralgcm,CHIRPS,3,MAM
0.8,0.4834841922166609,4.145616537441878,neuralgcm,CHIRPS,3,MAM
0.9,0.5295916439233921,5.1384957802040745,neuralgcm,CHIRPS,3,MAM
0.5,0.2944530105998673,2.3079361645475474,neuralgcm,CHIRPS,5,MAM
0.8,0.4805594966781444,4.213708599265633,neuralgcm,CHIRPS,5,MAM
0.9,0.5255092572415306,5.22698327705239,neuralgcm,CHIRPS,5,MAM
0.5,0.29734441872024964,2.802494748242037,neuralgcm,CHIRPS,7,MAM
